orig_processing_status,clean_processing_status
Accelerated Misdemeanor Program 2 Completed,Accelerated Misdemeanor Program Completed
Accelerated Misdemeanor Program Completed,Accelerated Misdemeanor Program Completed
Awaiting Administrative Closure,Awaiting Administrative Closure
Awaiting Appeal Hearing,Awaiting Appeal Hearing
Awaiting ARD Completion,Awaiting ARD Completion
Awaiting Completion of AMP,Awaiting Completion of AMP
Awaiting Completion of Domestic Violence Diversion,Awaiting Completion of Domestic Violence Diversion
Awaiting Completion of DV Diversion Court 2,Awaiting Completion of DV Diversion Court 2
Awaiting Completion of Treatment Court,Awaiting Completion of Treatment Court
Awaiting Completion of AMP 2,Awaiting Completion of AMP 2
Awaiting Decertification Hearing,Awaiting Decertification Hearing
Awaiting ER Status,Awaiting ER Status
Awaiting Filing of Information,Awaiting Filing of Information
Awaiting Final Disposition / AMP Revoked,Awaiting Final Disposition / AMP Revoked
Awaiting Formal Arraignment,Awaiting Formal Arraignment
Awaiting Gagnon I Hearing,Awaiting Gagnon I Hearing
Awaiting IP Status,Awaiting IP Status
Awaiting Mental Health Evaluation,Awaiting Mental Health Evaluation
Awaiting Pre-Trial Conference,Awaiting Pre-Trial Conference
Awaiting Preliminary Hearing,Awaiting Preliminary Hearing
Awaiting Sentencing,Awaiting Sentencing
Awaiting Status Hearing,Awaiting Status Hearing
Awaiting Trial,Awaiting Trial
Awaiting Trial Readiness Conference,Awaiting Trial Readiness Conference
Awaiting Violation of Probation Hearing,Awaiting Violation of Probation Hearing
Awaiting Violation of Probation/Status,Awaiting Violation of Probation/Status
Bench Warrant Probation Violation Issued,Bench Warrant Probation Violation Issued
Completed,Completed
Criminal Complaint Refiled,Criminal Complaint Refiled
Penalty Imposed,Penalty Imposed
Remanded for Trial,Remanded for Trial
Sentenced/Penalty Imposed,Sentenced/Penalty Imposed
Warrant Lifted,Warrant Lifted
